nct_id,brief_title,official_title,overall_status,start_date,sponsor,condition,phase,intervention_name,intervention_type,primary_outcome,secondary_outcome,country,study_type,enrollment
NCT01924832,BG00012 Regional Absorption Study,"Study to Investigate the Pharmacokinetics, Safety, and Tolerability of BG00012 (Dimethyl Fumarate) When Delivered to Different Regions of the Gastrointestinal Tract in Healthy Subjects",COMPLETED,2013-08,Biogen,Healthy,PHASE1,dimethyl fumarate,DRUG,The maximum observed concentration: Cmax | The time to reach maximum observed concentration: Tmax | The area under the plasma concentration versus time curve from time zero to 24 hours | The area under the plasma concentration versus time curve from time zero to time t (the last sampling time with quantifiable monomethyl fumarate [MMF]) | The area under the plasma concentration versus time curve from time zero to infinity | The apparent elimination half-life | The time prior to the first quantifiable monomethyl fumarate (MMF) plasma concentration | Area under the plasma concentration versus time curve (AUC) ratio of test regimens compared with reference for Part 1 | Area under the plasma concentration versus time curve (AUC) ratio of test regimens compared with reference for Part 2,The number of participants that experience Adverse Events (AEs) and Serious Adverse Events (SAEs),United Kingdom,INTERVENTIONAL,32
NCT01045122,Sedation in Patients at Risk for Upper Airway Collapse,Sedation in Patients at Risk for Sleep-induced Upper Airway Collapse,COMPLETED,2006-12,University of Rochester,Obstructive Sleep Apnea,NA,Propofol + Dexmedetomidine,DRUG,Respiratory Disturbance Index,,United States,INTERVENTIONAL,15
NCT01901874,The Gore SCAFFOLD Clinical Study,GORE® Carotid Stent Clinical Study for the Treatment of Carotid Artery Stenosis in Patients at Increased Risk for Adverse Events From Carotid Endarterectomy,COMPLETED,2013-07,W.L.Gore & Associates,Carotid Artery Disease | Carotid Artery Stenosis,NA,Carotid Artery Stenting,DEVICE,Number of Participants Who Experienced Major Adverse Events (MAE) at One Year,Number of Participants Who Achieved Stent Technical Success | Number of Participants Who Achieved Embolic Protection Device (EPD) Technical Success | Number of Participants Who Achieved Procedure Success | Number of Participants Who Experienced MAE at 30 Days | 30-Day MAE - Death | 30-Day MAE - Myocardial Infarction | 30-Day MAE - Stroke | In-Stent Restenosis | Target Lesion Revascularization,United States,INTERVENTIONAL,312
NCT04458558,Improving Access to Abortion in the Republic of Georgia,Improving Access to Abortion in the Republic of Georgia,UNKNOWN,2020-06-30,Center for Information and Counseling on Reproductive Health - Tanadgoma,Abortion Early | Pregnancy Related,PHASE4,Mifepristone,DRUG,Number of participants who report satisfactory experience | Number of providers who report satisfactory experience,Number of participants with adverse event | Number of participants with a complete abortion with medication alone and who do not require additional interventions to complete the procedure | Number of particpants with adverse event associated with mailing of medical abortion medications | Cost associated with the simplified medical abortion service delivery model | Number of participants who refuse to receive medical abortion pills by mail,Georgia,INTERVENTIONAL,120
NCT04043052,Mobile Technologies and Post-stroke Depression,MObile Technologies In the preVention of POSt-stroke DEPression,COMPLETED,2020-09-09,"University Hospital, Bordeaux",Stroke | Depression,NA,Psychological evaluation + Functional evaluation + Biological assessment + Ecological Momentary Assessment,BIOLOGICAL; OTHER,Hamilton Depression Rating Scale score (HDRS) | Hamilton Depression Rating Scale score (HDRS) | Hamilton Depression Rating Scale score (HDRS),Mini International Neuropsychiatric Interview (MINI) | Mini International Neuropsychiatric Interview (MINI) | Mini International Neuropsychiatric Interview (MINI) | Mood Disorder Questionnaire (MDQ) | Mood Disorder Questionnaire (MDQ) | Generalized Anxiety Disorder-7 scale (GAD-7) | Generalized Anxiety Disorder-7 scale (GAD-7) | Primary Care PTSD Screen for DSM-5 (PC-PTSD-5) | Primary Care PTSD Screen for DSM-5 (PC-PTSD-5) | Center of Epidemiological Studies-Depression Scale (CES-D) | Center of Epidemiological Studies-Depression Scale (CES-D) | Beck Anxiety Inventory (BAI) | Beck Anxiety Inventory (BAI) | Ruminative Response Scale-short form (RRS-short form) | Ruminative Response Scale-short form (RRS-short form) | Multidimensional Fatigue Inventory (MFI) | Multidimensional Fatigue Inventory (MFI) | EuroQoL 5-Dimensions Questionnaire (EQ-5D) | EuroQoL 5-Dimensions Questionnaire (EQ-5D) | Long-term Unmet Needs after Stroke (LUNS) | Long-term Unmet Needs after Stroke (LUNS) | Short version of Sarason's Social Support Questionnaire (6 items SSQ) | Short version of Sarason's Social Support Questionnaire (6 items SSQ) | International Physical Activity Questionnaire (7 items IPAQ) | International Physical Activity Questionnaire (7 items IPAQ) | International Physical Activity Questionnaire (7 items IPAQ) | Percentage of stroke risk | Percentage of stroke risk | Percentage of stroke risk | Recurrent stroke | Recurrent stroke | Cardiovascular events post-stroke | Cardiovascular events post-stroke | Intensity of post-stroke pain | Intensity of post-stroke pain | Intensity of post-stroke pain | Pittsburgh Sleep Quality Index | Blood pressure | HbA1c measure | LDLc plasmatic measure | CRPus plasmatic measure | Smoking Index (HSI),France,INTERVENTIONAL,401
NCT02282956,Ultrasound Guided Single Shot Block of Posterior Tibial Nerve for Postoperative Pain Relief After Hallux Valgus Surgery,"Monocentric, Non-blinded, Prospective Randomized Parallel Group Phase IV Clinical Study to Evaluate the Efficacy of Ultrasound Guided Single Shot Block of Nervus Tibialis Posterior for Postoperative Pain Relief After Hallux Valgus Surgery.",UNKNOWN,2014-10,Dr.med. Sabine Schoenfeld,Hallux Valgus,PHASE4,"Ropivacaine 0,75% + posterior tibial nerve block + morphine and droperidol",DRUG; PROCEDURE,morphine requirement,sleeping quality,Switzerland,INTERVENTIONAL,60
NCT04528615,Testing the Effectiveness of Coping With Cancer in the Kitchen,"A Randomized Controlled Trial to Test the Effectiveness of Coping With Cancer in the Kitchen, a Nutrition Education Program From Diagnosis and Beyond",COMPLETED,2019-04-30,American Institute for Cancer Research,Cancer | Nutrition Aspect of Cancer,NA,CCK In-Person Sessions + CCK Printed Materials,BEHAVIORAL,Knowledge about the role of a plant-based diet in cancer risk reduction | Knowledge about the role of a plant-based diet in cancer risk reduction | Confidence preparing a variety of plant-based foods | Confidence preparing a variety of plant-based foods | Skills to practice a plant-based diet | Skills to practice a plant-based diet | Barriers to eating more fruits and vegetables and whole grains | Barriers to eating more fruits and vegetables and whole grains,,United States,INTERVENTIONAL,53
NCT04788615,Open Label Randomized Multicenter to Assess Efficacy & Tolerability of Ofatumumab 20mg vs. First Line DMT in RMS,Open-Label Rater-Blind Randomized Multi-Center Parallel-Arm Active- Comparator Study to Assess the Efficacy and Tolerability of Ofatumumab 20mg SC Monthly vs. First Line DMT - Physician's Choice in the Treatment of Newly Diagnosed RMS,COMPLETED,2021-07-23,Novartis Pharmaceuticals,Multiple Sclerosis,PHASE3,Ofatumumab + First line DMT,DRUG,Number of participants with no evidence of disease activity (NEDA-3),"Number of relapses | Annual relapse rate | Percentage of relapse-free patients and proportion of relapse free patients with MRI activity free | Time to 3 month Confirmed Disability Worsening (CDW) and time to 6-month Confirmed Disability Worsening (CDW) | Change in expanded disability status scale (EDSS) | Percentage of disability-progression free patients | Number of Gd+ T1 lesions of brain | The number and percentage of patients with Treatment emergent adverse events (TEAE) or adverse events reports | Volume of Gd+ T1 lesions of brain | Number of new/enlarging T2 lesions of brain | Volume of new enlarging T2 lesions of brain | Mean time to first relapse | Percentage of SAEs, and SAEs with hospitalizations | Percentage of treatment compliance of participants | Percentage of patient with AEs | Percentage of withdrawn patients | Percentage of treatment discontinuation or interruptions","France, Germany, Italy, Spain",INTERVENTIONAL,185
NCT07084974,Evaluation of Trunk Assistance Exoskeleton,"Choosing a Trunk Assistance Exoskeleton: Issues of Cumulative Lumbar Loading, Muscle Fatigue, and Discomfort During Repetitive Lifting Tasks",RECRUITING,2025-06-04,TOPMED,Exoskeleton Device,NA,Adjustment and practice session + No trunk assistance + Uplift Lite exoskeleton + Biolift exoskeleton + Laevo Flex exoskeleton,DEVICE,Change in spinal compression | Change in muscular exertion perception | Change in maximal lifting strength,Exoskeleton assistance score | Number of cycles with parasitic forces score | Magnitude of parasitic forces score | Number of cycles with restriction of movement | Magnitude of restriction of movement | Number of cycles with postural instability | Magnitude of postural instability | Exoskeleton pressure points score | Exoskeleton discomfort score | Exoskeleton comfort score,Canada,INTERVENTIONAL,20
NCT01396421,Study of the Effectiveness of Three Different Doses of OPC-34712 in the Treatment of Adults With Acute Schizophrenia,"A Phase 3, Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Three Fixed Doses of OPC-34712 in the Treatment of Adults With Acute Schizophrenia",COMPLETED,2011-07,"Otsuka Pharmaceutical Development & Commercialization, Inc.",Acute Schizophrenia,PHASE3,OPC-34712 [Brexpiprazole] High Dose + Experimental: OPC-34712 [Brexpiprazole] Middle Dose + Experimental: OPC-34712 [Brexpiprazole] Low Dose + Placebo,DRUG,Mean Change From Baseline to Week 6 Positive and Negative Syndrome Scale (PANSS) Total Score.,"Mean Change From Baseline to Week 6 in Clinical Global Impression - Severity of Illness Scale (CGI-S) Score. | Mean Change From Baseline to Week 1, 2, 3, 4 and 5 Positive and Negative Syndrome Scale (PANSS) Total Score. | Mean Change From Baseline to Week 1, 2, 3, 4 and 5 in Clinical Global Impression - Severity of Illness Scale (CGI-S) Score. | Mean Change From Baseline to Week 6 in Personal and Social Performance Scale (PSP) | Mean Change From Baseline to Week 6 in PANSS Positive Subscale Score | Mean Change From Baseline to Week 6 in PANSS Negative Subscale Score | Clinical Global Impression- Improvement Scale (CGI-I) Score at Week 6 | Response Rate at Week 6 | Mean Change From Baseline to Week 6 in PANSS Excited Component (PEC) Score | Discontinuation Rate for Lack of Efficacy at Week 6 | Change From Baseline to Week 6 in PANSS Marder Factor Score - Positive Symptoms Score | Change From Baseline to Week 6 in PANSS Marder Factor Score - Negative Symptoms Score | Change From Baseline to Week 6 in PANSS Marder Disorganised Thought Score | Change From Baseline to Week 6 in PANSS Marder Uncontrolled Hostility/Excitement Score | Change From Baseline to Week 6 in PANSS Marder Anxiety Depression Score","Canada, Japan, Latvia, Poland, Romania, Serbia, South Korea, Ukraine, United States",INTERVENTIONAL,636
