nct_id,brief_title,official_title,overall_status,start_date,sponsor,condition,phase,intervention_name,intervention_type,primary_outcome,secondary_outcome,country,study_type,enrollment
NCT05287126,A Study to Evaluate Etrasimod Treatment in Adolescents With Ulcerative Colitis,"An Open-Label, Single-Arm Study to Evaluate the Efficacy, Pharmacokinetics, and Safety of Etrasimod in Adolescent Participants With Moderately to Severely Active Ulcerative Colitis",RECRUITING,2022-12-16,Pfizer,Ulcerative Colitis,PHASE2,Etrasimod,DRUG,Proportion of Participants Achieving Clinical Remission as Assessed by Modified Mayo Score (MMS) at Week 52,"Plasma Concentration of Etrasimod at 4 Hours Post-dose (C4h) | Plasma Steady State Trough Concentration (Ctrough,ss) of Etrasimod | Proportion of Participants Achieving Clinical Remission as Assessed by MMS at Week 12 | Proportion of Participants Achieving Endoscopic Improvement at Week 12 | Proportion of Participants Achieving Endoscopic Improvement at Week 52 | Proportion of Participants Achieving Symptomatic Remission at Week 12 | Proportion of Participants Achieving Symptomatic Remission at Week 52 | Proportion of Participants with Clinical Remission at Week 12 Who Had Not been Receiving Corticosteroids for ≥ 2 weeks Prior to Week 12 | Proportion of Participants with Clinical Remission at Week 52 Who Had Not been Receiving Corticosteroids for ≥ 12 weeks Prior to Week 52 | Proportion of Participants Achieving Clinical Response at Week 12 | Proportion of Participants Achieving Clinical Response at Week 52 | Proportion of Participants Achieving Clinical Remission by Pediatric Ulcerative Colitis Activity Index (PUCAI) at Week 12 | Proportion of Participants Achieving Clinical Remission as Assessed by PUCAI at Week 52 | Proportion of Participants Achieving a Clinical Response as Assessed by PUCAI at Week 12 | Proportion of Participants Achieving a Clinical Response as Assessed by PUCAI at Week 52 | Number and Severity of Adverse Events","Austria, Belgium, Japan, Poland, Slovakia, Spain, United States",INTERVENTIONAL,36
NCT04862338,"Pharmacodynamics and Tolerance of Nicotinamide Mononucleotide (NMN, 400mg/Day) in Healthy Adults",Pharmacodynamics and Tolerance Study of Nicotinamide Mononucleotide (NMN) Supplementation at 400 mg/Day,COMPLETED,2021-04-26,Seneque SA,Healthy Volunteers,NA,Nicotinamide mononucleotide (NMN-C),DIETARY_SUPPLEMENT,Change from baseline in NAD+ concentrations in whole blood,"Change from baseline in NMN concentrations in whole blood | Change from baseline NAD+ metabolite concentrations in plasma | Change from baseline NAD+ metabolite concentrations in urine | Adverse events | Evolution of the mitochondrial DNA ratio | Evolution of blood glucose levels | Evolution of blood lipid levels | Evolution of Transaminases (ASAT, ALAT, GGT) levels in blood | Evolution of Blood cell count | Evolution of Bilirubin levels in blood | Evolution of Creatinine levels in blood | Creatine phosphokinase (CPK) levels in blood | Evolution of blood Ionogram | Evolution of Diastolic blood pressure | Evolution of Systolic blood pressure | Evolution of Heart rate | Evolution of weight | Evolution of body composition",France,INTERVENTIONAL,17
NCT04206488,A Study of JNJ-70033093 and Digoxin in Healthy Participants,"A Single-center, Open-label, Fixed-sequence, Study Evaluating the Two-way Drug-drug Interaction Between JNJ-70033093 and Digoxin in Healthy Subjects",COMPLETED,2020-01-09,"Janssen Research & Development, LLC",Healthy,PHASE1,JNJ-70033093 + Digoxin,DRUG,Maximum Observed Plasma Concentration (Cmax) Geometric Mean Ratio of Treatment C (JNJ-70033093 + Digoxin) Relative to Treatment A (JNJ-70033093) | Cmax Geometric Mean Ratio of Treatment C (JNJ-70033093 + Digoxin) Relative to Treatment B (Digoxin) | Area Under the Plasma Concentration-time Curve from Time 0 to 24 Hours Postdose (AUC [0-24 hours]) Geometric Mean Ratio of Treatment C (JNJ-70033093 + Digoxin) Relative to Treatment A (JNJ-70033093) | AUC (0-24) Geometric Mean Ratio of Treatment C (JNJ-70033093 + Digoxin) Relative to Treatment B (Digoxin),Number of Participants with Adverse Events (AEs) as a Measure of Safety and Tolerability | Number of Participants with Vital Sign Abnormalities as a Measure of Safety and Tolerability | Number of Participants with 12-lead Electrocardiogram (ECG) Abnormalities as a Measure of Safety and Tolerability | Number of Participants with Laboratory Abnormalities as a Measure of Safety and Tolerability | Percent Change From Baseline in Activated Partial Thromboplastin Time (aPTT),Belgium,INTERVENTIONAL,30
NCT02089243,Controlled Randomized Vagus Nerve Stimulation (VNS) Therapy Versus Resection (CoRaVNStiR),Prospective Randomized Controlled Study of Vagus Nerve Stimulation Therapy in the Patients With Medically Refractory Medial Temporal Lobe Epilepsy; Controlled Randomized Vagus Nerve Stimulation Versus Resection (CoRaVNStiR),UNKNOWN,2014-06,Xijing Hospital,Epilepsy,NA,Vagus nerve stimulation therapy + Resective surgery,PROCEDURE,seizure frequency,neuropsychological examination | responder rates | mean seizure free interval | seizure severity | quality of life | complications,China,INTERVENTIONAL,40
NCT00657176,An Open-Label Phase-1 Study of OPB-31121 in Patients With Advanced Solid Tumors,"A Phase 1, Open-Label, Non-Randomized Study of OPB-31121 in Patients With Advanced Solid Tumors",UNKNOWN,2008-03,"Korea Otsuka Pharmaceutical Co., Ltd.",Solid Tumor,PHASE1,OPB-31121,DRUG,Maximum tolerated dose,Safety and dose-limiting toxicity | Pharmacokinetics | Antitumor effect,South Korea,INTERVENTIONAL,36
NCT06040060,Ketamine Effects as Preemptive Analgesia,Effects of Ketamine 0.5 Mg/Kgbw Administration as Preemptive Analgesia on Analgesia Duration and the Need for Fentanyl Following Hysterectomy Surgery,COMPLETED,2022-12-27,Universitas Padjadjaran,"Pain, Postoperative","PHASE2, PHASE3",Ketamine + Placebo,DRUG; OTHER,Duration of postoperative analgesia | Total need for post-operative analgesic rescue,,Indonesia,INTERVENTIONAL,40
NCT02513576,Physiotherapy Exercises in Patients With Sternal Instability After Cardiovascular Surgery,"A Randomized, Controlled Study of Physiotherapy Exercises in Patients With Sternal Instability Due to Mediastinitis After Cardiovascular Surgery",COMPLETED,2011-10,"Emilia Nozawa, PT PhD",Mediastinitis | Coronary Artery Disease | Cardiovascular Infections,NA,physiotherapy exercises,OTHER,Improvement of pulmonary function,Measure of pain on the Visual Analog Scale | Discomfort - using Discomfort Scale,,INTERVENTIONAL,30
NCT06809985,Latent Phase Membrane Stripping for Caesarean Section Reduction,Latent Phase Membrane Stripping for Caesarean Section Reduction. Single Blind Clinical Trial,COMPLETED,2025-01-31,"Ricardo A Gutierrez Ramirez, MD, MSc, FACOG",Cesarean Delivery | Cervical Ripening | Latent Phase Labour,NA,Hamilton maneuver,PROCEDURE,Time from admission until active phase,Rate of cesarean births | Level of Maternal satisfaction | Rate of maternal complications,Honduras,INTERVENTIONAL,71
NCT02298036,Helping Urgent Care Users Cope With Distress About Physical Complaints,Helping Urgent Care Users Cope With Distress About Physical Complaints: A Randomised Controlled Trial,COMPLETED,2014-01,University of Nottingham,Frequent Utilisers of Urgent Medical Care Who Have High Health Anxiety,NA,(Remote) Cognitive Behaviour Therapy,BEHAVIORAL,Health Anxiety Inventory: 14-Item Self Rated Short Form (Salkovskis 2002),"Health Anxiety Inventory: 14-Item Self Rated Short Form (Salkovskis 2002) | Generalised Anxiety Disorder: 7 Item (Spitzer et al 2006) | 9 item Patient Health Questionnaire for depression (PHQ-9; Kroenke et al, 2001). | 8 item Work and Social Adjustment Scale for social function (WSAS; Mundt et al, 2002). | 5 item quality of life on the EQ5D-5L (EuroQol Group, 1990) | 36 item Short Form Health Survey (SF-36; Ware et al, 2000). | Change in number of contacts with unscheduled or emergency care established through a totally adapted and stylised Client Service Receipt Inventory (CSRI; Beecham and Knapp 2001).",United Kingdom,INTERVENTIONAL,156
NCT01083823,Calling for Care: Cell Phones for Mood Telemetry in Teens,Calling for Care: Cell Phones for Mood Telemetry,COMPLETED,2010-03,Sunnybrook Health Sciences Centre,Bipolar Disorder | Cyclothymia | Borderline Personality Disorder,NA,Mental health telemetry (MHT),OTHER,usability,Validity | Qualitative feedback,Canada,INTERVENTIONAL,33
NCT01191359,Efficacy and Tolerability of Two Different Administration Routes With SLITonePLUS Birch,A Multicentre Randomised Phase II Clinical Pilot Study to Compare the Pharmacodynamic Efficacy and Tolerability of the Sublingual and the Vestibular Administration Route for SLITonePLUS® Birch,COMPLETED,2010-01,ALK-Abelló A/S,Allergy,PHASE2,oral immunotherapy,BIOLOGICAL,Pharmacodynamic efficacy of two different administration routes of SLITonePLUS Birch,Comparison of the two administration routes with regard to safety aspects,Germany,INTERVENTIONAL,66
NCT05491876,Active Cycle Of Breathing Technique Verses Breathing Exercises In Post ICU COVID-19 Patients,Comparison Of Active Cycle Of Breathing Technique And Breathing Exercises On Oxygen Saturation And Pulmonary Function Test In Post ICU COVID-19 Patients,COMPLETED,2021-09-15,Riphah International University,Post Covid-19 Patients,NA,Chest physiotherapy with breathing exercises and ACBT + Chest physiotherapy with breathing exercises,OTHER,SPIROMETRY | PULSE OXIMETRY,,Pakistan,INTERVENTIONAL,48
NCT01776424,Rivaroxaban for the Prevention of Major Cardiovascular Events in Coronary or Peripheral Artery Disease,A Randomized Controlled Trial of Rivaroxaban for the Prevention of Major Cardiovascular Events in Patients With Coronary or Peripheral Artery Disease (COMPASS - Cardiovascular OutcoMes for People Using Anticoagulation StrategieS).,COMPLETED,2013-02-28,Bayer,Prevention & Control,PHASE3,"Rivaroxaban (Xarelto, BAY59-7939) + Rivaroxaban (Xarelto, BAY59-7939) + Aspirin + Aspirin placebo + Rivaroxaban placebo + Pantoprazole + Pantoprazole placebo",DRUG,"The First Occurrence of the Composite Primary Efficacy Outcome, Myocardial Infarction (MI), Stroke, or Cardiovascular (CV) Death | The First Occurrence of the Primary Safety Outcome Major Bleeding Based on a Modification of the International Society on Thrombosis and Haemostasis (ISTH) Criteria","The First Occurrence of Myocardial Infarction (MI), Ischemic Stroke, Acute Limb Ischemia (ALI), or Coronary Heart Disease (CHD) Death | The First Occurrence of MI, Ischemic Stroke, ALI, or Cardiovascular (CV) Death | All-cause Mortality","Argentina, Australia, Belgium, Brazil, Canada, Chile, China, Colombia, Czechia, Denmark, Ecuador, Finland, France, Germany, Hungary, Ireland, Israel, Italy, Japan, Malaysia, Netherlands, Philippines, Poland, Romania, Russia, Slovakia, South Africa, South Korea, Sweden, Switzerland, Ukraine, United Kingdom, United States",INTERVENTIONAL,27395
NCT03739151,Passive Sensing Technology for Lapse Measurement,Applying Novel Passive Sensing Technology to Target Adherence to Diet in Behavioral Obesity Treatment for Patients With Cardiovascular Disease Risk,COMPLETED,2018-10-24,The Miriam Hospital,Overweight and Obesity,NA,Behavioral Obesity Treatment,BEHAVIORAL,Sensor-based Dietary Lapse,Self-reported Dietary Lapse | Weight | Dietary Composition,United States,INTERVENTIONAL,32
NCT00878969,"Genes, Fibrinolysis and Endothelial Dysfunction- Dialysis Aim 3","Genes, Fibrinolysis and Endothelial Dysfunction- Dialysis Aim 3",TERMINATED,2010-01,Vanderbilt University,Oxidative Stress | Endothelial Dysfunction,PHASE3,valsartan (ARB) + ramipril (ACE inhibitor) + Placebo,DRUG,Interleukin-6 (IL-6),,United States,INTERVENTIONAL,78
NCT07333092,Investigation of the Effects of Proprioceptive Exercises After Anterior Cruciate Ligament Surgery,"Investigation of the Effects of Proprioceptive Exercises on Balance, Kinesiophobia, and Functionality After Anterior Cruciate Ligament Surgery: A Randomized Controlled Trial",RECRUITING,2026-01-15,Uskudar University,Anterior Cruciate Ligament Injuries | Anterior Cruciate Ligament Rupture,NA,control + exercise,OTHER,Lysholm Knee Scoring Scale | Tampa Kinesiophobia Questionnaire | Y Balance Test,,Turkey (Türkiye),INTERVENTIONAL,50
NCT00959946,Study Of Bosutinib With Capecitabine In Solid Tumors And Locally Advanced Or Metastatic Breast Cancer,"A Phase 1/2, Open-Label Study Of Bosutinib Administered In Combination With Capecitabine In Subjects With Solid Tumor And ErbB2 Negative Locally Advanced Or Metastatic Breast Cancer",TERMINATED,2009-09,Pfizer,Advanced Breast Cancer (Parts 1 and 2) | Advanced Pancreatic Cancer (Part 1) | Advanced Colorectal Cancer (Part 1) | Advanced Cholangiocarcinoma (Part 1) | Advanced Glioblastoma Multiforme (Part 1),"PHASE1, PHASE2",Bosutinib + Capecitabine,DRUG,Maximum Tolerated Dose (MTD) - Part 1 | Percentage of Participants With Treatment-Emergent Adverse Events (AEs) or Serious Adverse Events (SAEs) - Part 1 | Percentage of Participants With Objective Response - Part 2,Best Overall Response - Part 1 | Progression Free Survival (PFS) - Part 2 | Clinical Benefit Rate - Part 2 | Duration of Response (DR) - Part 2 | Maximum Observed Plasma Concentration (Cmax) - Part 2 | Time to Reach Maximum Observed Plasma Concentration (Tmax) - Part 2 | Apparent Volume of Distribution (Vz/F) - Part 2 | Area Under the Curve From Time Zero to Last Quantifiable Concentration [AUC (0-24)] - Part 2 | Apparent Oral Clearance (CL/F) - Part 2 | Terminal-Phase Disposition Rate Constant (λz) - Part 2 | Plasma Decay Half-Life (t1/2) - Part 2,"Australia, Belgium, France, Hong Kong, Spain, United States",INTERVENTIONAL,32
NCT00555022,Effect of GSK1160724 In Healthy Volunteers,"A Randomized Double-blind, Placebo-controlled, Crossover, Dose Escalation Study to Examine the Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of Single Inhaled Doses of GSK1160724 and Tiotropium Bromide",COMPLETED,2007-12-12,GlaxoSmithKline,"Pulmonary Disease, Chronic Obstructive",PHASE1,GSK1160724 + Tiotropium bromide + Placebo,DRUG,Number of subjects with adverse events (AEs) | Number of subjects with abnormal values for blood pressure | Number of subjects with abnormal values for heart rate | Number of subjects with abnormal electrocardiogram (ECG) findings | Number of subjects with abnormal findings after holter monitoring | Forced expiratory volume in 1 second (FEV1) | Forced vital capacity (FVC) | Number of subjects having abnormal hematology laboratory parameters | Number of subjects with abnormal clinical chemistry parameters | Number of subjects with abnormal values for urinalysis | Maximum value for resting heart rate over 0-4 hour | Maximum value for resting blood pressure over 0-4 hour | Maximum value for resting ECG over 0-4 hour | Weighted mean of resting heart rate over 0-4 hour | Weighted mean of resting blood pressure over 0-4 hour | Weighted mean of resting ECG over 0-4 hour,Plasma concentrations of GSK1160724 | Plasma concentrations of GSK1762245 | Urine concentrations of GSK1160724 | Urine concentrations of GSK1762245 | Maximum observed concentration (Cmax) of GSK1160724 | Cmax of GSK1762245 | Time to Cmax (Tmax) of GSK1160724 | Tmax of GSK1762245 | Time to last observed plasma concentration (Tlast) of GSK1160724 | Tlast of GSK1762245 | Area under the plasma concentration time curve from time 0 to last time of quantifiable concentration (AUC [0-T]) of GSK1160724 | AUC (0-T) of GSK1762245 | Area under the plasma concentration time curve from time 0 to infinity (AUC [0-infinity]) of GSK1160724 | AUC (0-infinity) of GSK1762245 | The terminal phase elimination rate constant (Lambda z) of GSK1160724 | Lambda z of GSK1762245 | The Terminal phase half life (T1/2) of GSK1160724 | T1/2 of GSK1762245 | Serial specific airway conductance (sGaw) response over 24 hours post-dose of GSK1160724 and tiotropium bromide | FEV1 over 24 hours post-dose of GSK1160724 and tiotropium bromide | FVC over 24 hours post-dose of GSK1160724 and tiotropium bromide | Serial sGaw measurements over 48 hours of GSK1160724 and tiotropium bromide,United Kingdom,INTERVENTIONAL,21
NCT04868136,Effects of a Warm-up on Immune Response to Exercise,The Effects of a Dynamic Warm up on the Immune Response to Exercise in Lower Fit and Higher Fit Adults,COMPLETED,2018-07-15,University of Houston,Physiological and Psychological Responses to Exercise,NA,Exercise,BEHAVIORAL,Heart rate during exercise | Perceived exertion during exercise | Power during exercise | Monocyte mobilization by exercise | Natural Killer cell mobilization by exercise | CD4 T cell mobilization by exercise | CD8 T cell mobilization by exercise,Mood after exercise | Affect after exercise,United States,INTERVENTIONAL,24
NCT00579085,Double Blind Placebo Controlled Study of Outpatient Intravenous Ketamine for the Treatment of CRPS,Double Blind Placebo Controlled Study of Outpatient Intravenous Ketamine for the Treatment of CRPS,COMPLETED,2006-09,Drexel University College of Medicine,Complex Regional Pain Syndrome,PHASE2,Ketamine + IV NSS + Normal Saline,DRUG; OTHER,The purpose of this study is to evaluate intravenous outpatient infusion of sub-anesthetic doses of ketamine for the treatment of CRPS by a 30% pain reduction post treatment,Lenght of relief of pain,United States,INTERVENTIONAL,40
NCT05734625,Efficacy of Nerve Blocks for Episodic Migraine,Efficacy of Peripheral Nerve Blocks for Episodic Migraine Treatment and Prophylaxis,RECRUITING,2023-07-10,Mayo Clinic,Episodic Migraine,PHASE2,Bupivacaine HCl 0.5% Injectable Solution + Methylprednisolone 40 MG Injection,DRUG,Elimination of acute headache,Average headache days | Days of work/school/life event absenteeism,United States,INTERVENTIONAL,60
NCT03210389,A Clinical Trial of Chemotherapy With Lobaplatin and 5-FU in Recurrent Local or Distant Advanced NPC.,"A Prospective, Single-arm, and Open Clinical Trial of Chemotherapy With Lobaplatin and 5-FU on Efficacy and Safety in Recurrent Local or Distant Advanced NPC.",UNKNOWN,2017-07,Sun Yat-sen University,Recurrent Nasopharyngeal Carcinoma,PHASE2,Lobaplatin,DRUG,progression-free survival,overall survival | objective response rate,China,INTERVENTIONAL,60
NCT03372564,CREST: Capsular Repair During Hip Arthroscopy,CREST: A Randomized Controlled Trial Comparing Inter-portal Hip Capsular Repair vs. No Repair Following Hip Arthroscopy,ACTIVE_NOT_RECRUITING,2017-11-07,Mayo Clinic,Hip Arthroscopy,NA,Hip Capsule Repair,PROCEDURE,Hip Function,Hip ROM | Visual Analog Pain Score Progression,United States,INTERVENTIONAL,250
NCT05025293,Zoledronate Early to Hip Fracture Patients - Safe and Effective?,Zoledronate Early to Hip Fracture Patients - Safe and Effective? A Double-blinded Randomized Controlled Treatment Strategy Trial on Zoledronate in Hip Fracture Patients,RECRUITING,2021-12-15,Lene Bergendal Solberg,Hip Fractures | Osteoporosis,PHASE4,Zoledronic Acid 5Mg/Bag 100Ml Inj + sodium chloride,DRUG,Difference between the two groups (ZOLearly vs ZOLlate) in proportion of patients having P1NP>35µg/L 12 months after treatment with zoledronate,Grade of early mobilization | Delirium assessment | Difference between the two groups in proportion of patients having CTX>0.28µg/L 12 months after treatment with zoledronate | Change in bone mineral density (BMD) | Grade of mobilization and rehabilitation | Fever (T> 38'C) during hospital stay for fracture surgery | Use of antibiotics during hospital stay for fracture surgery | Hospital stay after hip fracture surgery | Time to readmission to hospital (any department) after first discharge | Number of readmissions to hospital (any department) after first discharge | Time to new fracture | Total number of new fractures | Deaths,Norway,INTERVENTIONAL,300
NCT01839916,Donor T Cells After Donor Stem Cell Transplant in Treating Patients With Hematologic Malignancies,Pilot Study of Prophylactic Dose-Escalation Donor Lymphocyte Infusion After T Cell Depleted Allogeneic Stem Cell Transplant in High Risk Patients With Hematologic Malignancies,COMPLETED,2013-04-04,University of Chicago,Accelerated Phase Chronic Myelogenous Leukemia | Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities | Adult Acute Myeloid Leukemia With Del(5q) | Adult Acute Myeloid Leukemia With Inv(16)(p13;q22) | Adult Acute Myeloid Leukemia With t(15;17)(q22;q12) | Adult Acute Myeloid Leukemia With t(16;16)(p13;q22) | Adult Acute Myeloid Leukemia With t(8;21)(q22;q22) | Adult Nasal Type Extranodal NK/T-cell Lymphoma | Anaplastic Large Cell Lymphoma | Angioimmunoblastic T-cell Lymphoma | Blastic Phase Chronic Myelogenous Leukemia | Childhood Burkitt Lymphoma | Childhood Chronic Myelogenous Leukemia | Childhood Diffuse Large Cell Lymphoma | Childhood Immunoblastic Large Cell Lymphoma | Childhood Myelodysplastic Syndromes | Childhood Nasal Type Extranodal NK/T-cell Lymphoma | Chronic Phase Chronic Myelogenous Leukemia | Cutaneous B-cell Non-Hodgkin Lymphoma | de Novo Myelodysplastic Syndromes | Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue | Hepatosplenic T-cell Lymphoma | Intraocular Lymphoma | Nodal Marginal Zone B-cell Lymphoma | Noncutaneous Extranodal Lymphoma | Peripheral T-cell Lymphoma | Post-transplant Lymphoproliferative Disorder | Previously Treated Myelodysplastic Syndromes | Recurrent Adult Acute Lymphoblastic Leukemia | Recurrent Adult Acute Myeloid Leukemia | Recurrent Adult Burkitt Lymphoma | Recurrent Adult Diffuse Large Cell Lymphoma | Recurrent Adult Diffuse Mixed Cell Lymphoma | Recurrent Adult Diffuse Small Cleaved Cell Lymphoma | Recurrent Adult Grade III Lymphomatoid Granulomatosis | Recurrent Adult Hodgkin Lymphoma | Recurrent Adult Immunoblastic Large Cell Lymphoma | Recurrent Adult Lymphoblastic Lymphoma | Recurrent Adult T-cell Leukemia/Lymphoma | Recurrent Childhood Acute Lymphoblastic Leukemia | Recurrent Childhood Acute Myeloid Leukemia | Recurrent Childhood Anaplastic Large Cell Lymphoma | Recurrent Childhood Grade III Lymphomatoid Granulomatosis | Recurrent Childhood Large Cell Lymphoma | Recurrent Childhood Lymphoblastic Lymphoma | Recurrent Childhood Small Noncleaved Cell Lymphoma | Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma | Recurrent Grade 1 Follicular Lymphoma | Recurrent Grade 2 Follicular Lymphoma | Recurrent Grade 3 Follicular Lymphoma | Recurrent Mantle Cell Lymphoma | Recurrent Marginal Zone Lymphoma | Recurrent Mycosis Fungoides/Sezary Syndrome | Recurrent Small Lymphocytic Lymphoma | Recurrent/Refractory Childhood Hodgkin Lymphoma | Refractory Chronic Lymphocytic Leukemia | Refractory Hairy Cell Leukemia | Relapsing Chronic Myelogenous Leukemia | Secondary Myelodysplastic Syndromes | Small Intestine Lymphoma | Splenic Marginal Zone Lymphoma | T-cell Large Granular Lymphocyte Leukemia | Testicular Lymphoma | Waldenström Macroglobulinemia,PHASE2,therapeutic allogeneic lymphocytes + laboratory biomarker analysis,BIOLOGICAL; OTHER,Percentage of Patients Who Are Able to Receive at Least One DLI Treatment,Progression Free Survival (PFS) | Overall Survival (OS) | Rate of Acute GVHD (aGVHD) With Any Grade | Rate of Chronic GVHD (cGVHD) | Treatment-related Mortality,United States,INTERVENTIONAL,77
NCT01107054,A Study to Investigate the Effects of PF00610335 on the QT/QTC Interval in Healthy Volunteers,"A Double Blind, Randomized, Multiple Dose, Placebo And Active Controlled 4-Way Crossover Study To Investigate The Effects Of Inhaled PF-00610355 On QT/QTC Interval In Healthy Subjects",COMPLETED,2010-06,Pfizer,Pulmonary Disease | Lung Disease | Moxifloxacin,PHASE1,PF-00610355 + PF-00610355 + moxifloxacin + placebo,DRUG,To assess whether multiple dose administration of PF00610335 has the potential to affect QTc in healthy volunteers,"To assess the effects of a positive control (moxifloxacin) on QTc interval in healthy volunteers | To asses the the relationship between plasma concentrations of PF00610335 and its effects, if any on the QTc interval",Belgium,INTERVENTIONAL,48
NCT03931538,Rapid Molecular Organism Identification and Mixed Flora Antibiotic Resistance Profiling (MixAR) Prospective Study,Urinary Tract Infection: RapID Molecular Organism Identification and Mixed Flora Antibiotic Resistance Profiling (MixAR),COMPLETED,2018-07-17,Pathnostics,Urinary Tract Infections | Prostatitis | Interstitial Cystitis,NA,Guidance 4.0 PCR test + Urine Culture,DIAGNOSTIC_TEST,Establish Safety: composite adverse event rate,Number of Patients with Recurrent and Persistent Infections in Each Arm | Time to Symptom Resolution in Each Arm,United States,INTERVENTIONAL,2511
NCT01692808,Bioavailability of Vitamin D in Children and Adolescents With Crohn's Disease,Bioavailability of Vitamin D in Children and Adolescents With Crohn's Disease.,COMPLETED,2012-10,St. Justine's Hospital,Crohn's Disease,PHASE2,Vitamin D3 3000 UI daily + Vitamin D3 4000 UI daily,DRUG,Number of participants with adverse events after one month,Decrease of inflammatory parameters | Immunological changes | Bioavailability,Canada,INTERVENTIONAL,20
NCT04134143,Multiple Applications of ExpressGraft-C9T1 Skin Tissue as a Treatment for Diabetic Foot Ulcers,"An Open-Label, Prospective, Safety, and Tolerability Study of ExpressGraft- C9T1 Skin Tissue in the Treatment of Diabetic Foot Ulcers",TERMINATED,2019-11-07,"Stratatech, a Mallinckrodt Company",Diabetes | Diabetic Foot Ulcer | Non-healing Wound,PHASE1,ExpressGraft-C9T1 Skin Tissue,BIOLOGICAL,Number of participants with adverse events at Week 12 | Number of participants with adverse events through study completion,,United States,INTERVENTIONAL,6
NCT01373905,Stepwise Positive End Expiratory Pressure Elevation For Lung Recruitment in Acute Respiratory Distress Syndrome (ARDS),Stepwise PEEP Elevation With Determination of the Alveolar Collapsing Pressure Versus Sustained Lung Inflation as a Recruitment Maneuver in Patients With ARDS,COMPLETED,2007-01,University of Alexandria,Acute Respiratory Distress Syndrome,NA,Recruitment maneuver + recruitment maneuver,PROCEDURE,All cause mortality,Efficacy,Egypt,INTERVENTIONAL,24
NCT01548768,RHYTHM (Formerly Escape II Myocardium),RHYTHM (RHeumatoid Arthritis studY of THe Myocardium): How Rheumatoid Arthritis (RA) and Tumor Necrosis Factor (TNF) Inhibitors Affect the Myocardial Structure and Function.,COMPLETED,2011-10-10,Columbia University,Rheumatoid Arthritis,PHASE4,TNF inhibitors + DMARDs,DRUG,Number of Participants With Myocardial FDG Uptake,Number of Participants With Myocardial FDG Uptake After Escalation of RA Pharmacotherapy | LV Structure (Mean EDVI) in Association With Myocardial FDG Uptake | LV Function (Mean Stroke Volume Index) in Association With Myocardial FDG Uptake,United States,INTERVENTIONAL,149
NCT05306379,Drug-Drug Interaction Study to Investigate Effects of Voclosporin on Pharmacokinetics of Simvastatin,"A Single Center, Open Label, Phase 1 Drug-Drug Interaction Study to Investigate the Effects of Voclosporin on the Pharmacokinetics of Simvastatin in Healthy Volunteers",COMPLETED,2022-01-24,Aurinia Pharmaceuticals Inc.,Drug-drug Interaction,PHASE1,Simvastatin + Voclosporin,DRUG,Pharmacokinetics of simvastatin and simvastatin acid (Cmax) | Pharmacokinetics of simvastatin and simvastatin acid (AUC) | Pharmacokinetics of simvastatin and simvastatin acid (AUC),Pharmacokinetics of voclosporin (Cmax) | Pharmacokinetics of voclosporin (AUC) | Pharmacokinetics of voclosporin (Tmax) | Pharmacokinetics of voclosporin (Ctrough) | Pharmacokinetics of voclosporin (CL/F) | Number of participants with abnormal laboratory test results | Number of participants with abnormal vital signs | 12-Lead Electrocardiogram Assessment,United States,INTERVENTIONAL,24
NCT06616558,"A Study to Assess the Effectiveness of Sunscreen on Oil Control, Moisturization, and Skin Barrier Integrity in Adults With Oily Skin","A Single-Center, Open-Label, Randomized Clinical Study to Evaluate the Oil Control Efficacy, Moisture Assessment and Skin Barrier Integrity of an Investigational Product in Adult Participants With Oily Facial Skin",COMPLETED,2024-06-03,JNTL Consumer Health (Brasil) LTDA,Oily Skin,NA,Sunscreen SPF 70 + Sunscreen SPF 70,OTHER,Number of Participants With Adverse Events | Change From Baseline in Skin Oil Control Assessment During 12-hour Kinetics | Participant's Self-perceived Questionnaire to Assess the Clinical Effectiveness of the Sunscreen During 12-hour Kinetics | Change From Baseline in Clinical Effectiveness on Oil Shine | Change From Baseline in Clinical Effectiveness on Pores Appearance | Change From Baseline in Skin Oil Control Assessment | Change From Baseline in Skin Barrier Integrity | Change From Baseline in Skin Hydration | Number of Participants with Improvement From Baseline in Skin Appearance Assessed Using the Visia-CR Facial Imaging Booth | Participant's Self-perceived Questionnaire to Assess the Clinical Effectiveness of the Sunscreen on Day 7 | Participant's Self-perceived Questionnaire to Assess the Clinical Effectiveness of the Sunscreen on Day 28,,Brazil,INTERVENTIONAL,32
NCT00900510,Antibiotic Therapy After Incision and Drainage for Abscess,"The Use of Adjuvant Antibiotic Therapy After Incision and Drainage for Pediatric Abscess: A Prospective, Randomized, Double-blinded, Placebo-Controlled Trial",WITHDRAWN,2009-05,Wake Forest University,Abscess,NA,Incision and drainage + Trimethoprim/Sulfamethoxazole (Bactrim) + Placebo,DRUG; PROCEDURE,Resolution of abscess,,United States,INTERVENTIONAL,0
